orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
125547,125547,txn,,unranked clade,Reptiliomorpha,,,125547,unranked clade,Reptiliomorpha,53190,,28463,extant,4574,Serpukhovian,Cenozoic,41994,8132,Chordata,Osteichthyes,,,,,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,,,,,,,hydroxyapatite,,,
37177,37177,txn,,unranked clade,Anthracosauria,,,37177,unranked clade,Anthracosauria,125547,,28463,extant,4574,Serpukhovian,Cenozoic,41993,8131,Chordata,Osteichthyes,,,,,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,,,,,,,hydroxyapatite,,,
99766,99767,txn,,unranked clade,Batrachosauria,,,99766,unranked clade,Batrachosauria,37177,,28775,extant,4574,Pennsylvanian,Cenozoic,41953,8130,Chordata,Osteichthyes,,,,,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,,,,,,,hydroxyapatite,,,
56749,135885,txn,,unranked clade,Cotylosauria,,,56749,unranked clade,Cotylosauria,99766,,26928,extant,4574,Pennsylvanian,Cenozoic,41886,8129,Chordata,Osteichthyes,Cotylosauria,,,,"brackish,freshwater,terrestrial",Tetrapoda,actively mobile,,,,,,,hydroxyapatite,,,
53189,53189,txn,,unranked clade,Amniota,amniote,,53189,unranked clade,Amniota,56749,,35418,extant,4574,Pennsylvanian,Cenozoic,41826,8128,Chordata,Osteichthyes,Cotylosauria,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
135358,135358,txn,,unranked clade,Sauropsida,,,135358,unranked clade,Sauropsida,53189,,28402,extant,4109,Pennsylvanian,Cenozoic,17763,4242,Chordata,Osteichthyes,Cotylosauria,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
36322,36322,txn,,class,Reptilia,reptile,,36322,class,Reptilia,135358,,16886,extant,4109,Pennsylvanian,Cenozoic,17754,4241,Chordata,Reptilia,,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
253371,253371,txn,,unranked clade,Pantestudines,,,253371,unranked clade,Pantestudines,36322,,14292,extant,2,Ladinian,Carnian,5,1,Chordata,Reptilia,,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
UF3,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,253371,,,2,,,,,,,,,,,,,,,,,,,,,,,
375294,375294,txn,,genus,Eorhynchochelys,,,375294,genus,Eorhynchochelys,253371,UF3,66624,extinct,2,Carnian,,2,0,Chordata,Reptilia,,,Eorhynchochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
375295,375295,txn,,species,Eorhynchochelys sinensis,,,375295,species,Eorhynchochelys sinensis,375294,,66624,extinct,1,Carnian,,1,0,Chordata,Reptilia,,,Eorhynchochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
106739,175823,txn,,unranked clade,Testudinata,turtle,,106739,unranked clade,Testudinata,36322,,34953,extant,38,Late Triassic,Cenozoic,2180,539,Chordata,Reptilia,,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
56475,56475,txn,,order,Testudines,turtle,,56475,order,Testudines,106739,,9732,extant,1,Norian,Cenozoic,2065,538,Chordata,Reptilia,Testudines,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
37583,37583,txn,,suborder,Proganochelydia,,,37583,suborder,Proganochelydia,56475,,4783,,1,Norian,,2,0,Chordata,Reptilia,Testudines,,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
37584,37584,txn,,family,Proganochelyidae,,,37584,family,Proganochelyidae,37583,,4783,,1,Norian,,1,0,Chordata,Reptilia,Testudines,Proganochelyidae,,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
UF4,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,106739,,,35,,,,,,,,,,,,,,,,,,,,,,,
332074,332074,txn,IF,genus,Chelichnus,,,332074,genus,Chelichnus,106739,UF4,57077,extinct,2,Permian,Norian,10,0,Chordata,Reptilia,,,Chelichnus,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
378570,378570,txn,IF,species,Chelichnus megacheirus,,,378570,species,Chelichnus megacheirus,332074,,67298,extinct,1,Carnian,Norian,1,0,Chordata,Reptilia,,,Chelichnus,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
137151,137151,txn,,genus,Odontochelys,,,137151,genus,Odontochelys,106739,UF4,28659,extinct,2,Carnian,Norian,2,0,Chordata,Reptilia,,,Odontochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
137153,137153,txn,,species,Odontochelys semitestacea,,,137153,species,Odontochelys semitestacea,137151,,28659,extinct,1,Carnian,Norian,1,0,Chordata,Reptilia,,,Odontochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
67323,67323,txn,,genus,Palaeochersis,,,67323,genus,Palaeochersis,106739,UF4,35283,extinct,2,Norian,,2,0,Chordata,Reptilia,,,Palaeochersis,Palaeochersis talampayensis,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
178245,178245,txn,,species,Palaeochersis talampayensis,,,178245,species,Palaeochersis talampayensis,67323,,35283,extinct,1,Norian,,1,0,Chordata,Reptilia,,,Palaeochersis,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
37585,37585,txn,,genus,Proganochelys,,,37585,genus,Proganochelys,106739,UF4,44549,extinct,19,Norian,Rhaetian,4,0,Chordata,Reptilia,,,Proganochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
253378,253378,txn,,species,Proganochelys quenstedtii,,,253378,species,Proganochelys quenstedtii,37585,,44549,extinct,5,Norian,Rhaetian,1,0,Chordata,Reptilia,,,Proganochelys,,terrestrial,Amniota,actively mobile,,,,,,,hydroxyapatite,,,
